Hardware,Nivel (concurrencia),C0 ASR (%),C0 timeouts/total,C0 p50 (ms),C0 p95 (ms),C5 ASR (%),C5 timeouts/total,C5 bloqueados (429),C5 p50 (ms),C5 p95 (ms)
CPU local (Ryzen 5 3500U),2,0.0,0/2,73133,73133,50.0,1/2,0,90277,90277
CPU local (Ryzen 5 3500U),4,50.0,2/4,90277,90279,75.0,3/4,0,90314,90318
CPU local (Ryzen 5 3500U),6,83.3,5/6,90300,90302,83.3,5/6,0,90320,90320
CPU local (Ryzen 5 3500U),8,100.0,8/8,90600,90607,87.5,7/8,0,90328,90333
CPU local (Ryzen 5 3500U),10,90.0,9/10,90612,90663,90.0,9/10,0,90603,90659
CPU local (Ryzen 5 3500U),50,98.0,49/50,90919,90939,1.2,9/730,720,581,8893
CPU local (Ryzen 5 3500U),100,100.0,100/100,91163,91256,1.4,10/695,685,1412,9793
Colab GPU T4,2,0.0,0/6,8356,8536,0.0,0/2,0,41652,41652
Colab GPU T4,4,0.0,0/9,14470,16004,0.0,0/8,0,18220,19196
Colab GPU T4,6,0.0,0/10,21453,25585,0.0,0/3518,3516,20,72
Colab GPU T4,8,0.0,0/11,34233,44883,0.0,0/3648,3648,19,131
Colab GPU T4,10,0.0,0/14,30687,43874,0.0,0/3599,3599,29,193
Colab GPU T4,50,59.3,32/54,90081,90085,0.0,0/3024,3024,364,621
Colab GPU T4,100,85.0,85/100,90320,90329,0.0,0/3075,3075,736,1283
